day,ym,RM_monthly,rf_monthly,RM_RF_monthly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
01may1992,1992m5,.026391709,.010419445,.015972264,-.046886418,.0032947394,.10124179,-.097087018,.020748558,.035116579
01jun1992,1992m6,-.076299712,.0094166668,-.085716382,.046871476,.054856792,.05411059,-.0052369884,-.027242135,.06569282
01jul1992,1992m7,-.056393355,.0099113891,-.066304743,.096673951,.019510642,-.058326736,.073239028,.05205293,-.061311767
03aug1992,1992m8,-.1033027,.010531388,-.11383409,.030231651,.050251998,-.011580803,-.030310027,.0053813905,.048986182
01sep1992,1992m9,-.098305531,.013,-.11130553,.020029992,-.032739878,.063019067,.017377708,-.10915609,-.017976573
01oct1992,1992m10,.014689734,.022388889,-.0076991543,.007036672,.061238755,-.20927727,.035869256,-.0057759322,-.055258233
02nov1992,1992m11,.27512556,.0105,.26462555,-.16898717,.16937958,-.1373609,-.13084562,.20563732,-.2377573
01dec1992,1992m12,.012418333,.010548611,.0018697213,.16075416,-.032256886,-.024675345,.057145454,.0092939772,-.010433476
01jan1993,1993m1,-.019241262,.009196667,-.028437929,.0068874825,.21445107,-.083199799,.062418003,.057414308,-.054180238
01feb1993,1993m2,.11761575,.0077155558,.1099002,.051799521,.073379986,-.32316324,.02908876,.017896526,-.1582119
01mar1993,1993m3,-.0053391051,.0084474999,-.013786605,-.051085565,.015118853,.056503002,-.00038376093,.017816812,.022023892
01apr1993,1993m4,.040178441,.0083916662,.031786773,-.069208331,-.072365575,.095754862,-.033164829,-.054622989,.062050391
03may1993,1993m5,.076590493,.0079911109,.068599381,.25041556,.13142687,-.27363893,.065086,-.0018491261,-.0077699777
01jun1993,1993m6,-.011555751,.0070250002,-.018580751,-.027099228,.039915062,.10973815,-.0012189569,.011340801,.027826024
01jul1993,1993m7,.11074195,.0073538888,.10338806,.12378565,.14886796,-.27675861,.065864712,.044171456,-.13957939
02aug1993,1993m8,.065204695,.0070869438,.058117751,-.057034254,-.002060961,-.03949713,.0020620453,.020442542,-.012727428
01sep1993,1993m9,.010545613,.0065000001,.0040456131,.088982053,-.12865157,.052866377,.01200245,-.045894153,.054652233
01oct1993,1993m10,.10145626,.0067424998,.094713762,.015712285,-.068011932,-.00034233183,-.023301369,.055795863,-.0059524626
01nov1993,1993m11,-.085935786,.0060833334,-.092019118,-.05313234,-.013826326,.13431774,-.016031804,-.0035572015,.050838482
01dec1993,1993m12,.076099381,.0064841667,.069615215,-.0066569238,.036922064,-.016807485,-.013353657,.012043272,.0045890105
03jan1994,1994m1,.14352997,.0062602777,.13726969,.085289814,.059565,-.07492011,.10117544,.081422515,-.018510021
01feb1994,1994m2,-.040545024,.0053588888,-.045903914,.090806715,-.047833864,.039927471,.079954416,-.036455274,.047128387
01mar1994,1994m3,-.08770749,.0061913892,-.093898878,-.025056904,-.00074772537,-.028035335,-.029562267,-.00029951334,-.01092758
01apr1994,1994m4,.060684934,.0059416667,.054743268,-.047764417,-.018845901,.00684977,-.068401285,.0080380905,-.002739639
02may1994,1994m5,.0065756557,.0060622222,.00051343348,.015214455,-.053269058,-.000057747122,-.019047115,-.025998602,-.007803808
01jun1994,1994m6,-.070089236,.0057333335,-.075822569,-.038644005,.038381208,.01458237,-.028752819,.04089402,.017084619
01jul1994,1994m7,.066814631,.0059933332,.060821299,-.046085298,-.0027926094,-.00037080026,-.080565847,.0072160796,-.01544295
01aug1994,1994m8,-.0079212077,.0061483332,-.01406954,-.016804125,-.031443156,.030331012,-.030577943,-.026196305,.0043965676
01sep1994,1994m9,-.027604086,.0061166668,-.033720754,-.0048674084,.0036055036,.03409661,.025375012,.01042519,.0085767349
03oct1994,1994m10,.051487647,.0064411112,.045046534,.030153068,.057616778,-.034624051,.02386412,.024384113,-.015164873
01nov1994,1994m11,.014658425,.0061916667,.0084667578,.011696843,.015098999,.03457595,.011741509,.020847064,.038106915
01dec1994,1994m12,-.023904677,.0067511112,-.030655788,.013454425,-.0046349368,.012299666,.013978884,-.010050636,.020824673
02jan1995,1995m1,.029163936,.0068113888,.022352546,.010320171,-.0050597675,.022013314,.011558001,.0026347553,.0076780664
01feb1995,1995m2,-.0010430416,.0057711112,-.0068141529,.0072389287,-.020185951,.0036293517,.016477492,-.01771589,.0066915918
01mar1995,1995m3,-.034918316,.0070094448,-.041927762,-.033738662,-.068602636,.01676853,-.06113207,-.10617219,.040902074
03apr1995,1995m4,.079568192,.0070333332,.072534859,-.034001302,-.04060125,.043112289,-.032380864,-.039344776,.016608912
01may1995,1995m5,.025032038,.0073625003,.017669538,-.016732346,.047745068,-.0599728,-.028942667,.038873821,-.056164645
01jun1995,1995m6,.040165517,.0071083331,.033057183,-.0073067811,-.00075549213,-.010084772,-.015915485,.00070157833,-.0090826377
03jul1995,1995m7,.04079055,.0079049999,.032885551,-.019107347,-.028334564,.014266578,-.025967602,-.027912982,.003786773
01aug1995,1995m8,.0063201254,.0078361118,-.0015159864,-.02728194,.023450173,-.0023144255,-.055533756,.028700808,.031734005
01sep1995,1995m9,.070634216,.0074499995,.063184217,.021588821,-.030564826,.01469039,.0082086576,-.027847037,.013584428
02oct1995,1995m10,-.069546275,.0076122223,-.077158496,.012534603,.039315335,-.04016421,.021844162,.040065259,-.049774483
01nov1995,1995m11,.015604303,.0071416665,.0084626367,-.0079037696,.011924698,-.0096568763,-.0035340122,.014766537,-.031781569
01dec1995,1995m12,-.0029947252,.0076638884,-.010658613,-.013798825,-.00076727179,-.029696491,-.023152538,.014679493,-.057447117
01jan1996,1996m1,.017509889,.0074141663,.010095723,.0036877978,-.017548604,-.0030654697,-.010702251,-.010007515,.0034225048
01feb1996,1996m2,.056439862,.0063316668,.050108194,.0015309356,-.062838107,.019126318,-.073646113,-.012652622,-.01488361
01mar1996,1996m3,.017372815,.0064066667,.010966148,.005564129,.0042690877,-.012799562,.0046754861,.015600944,-.018818613
01apr1996,1996m4,.028882999,.0058166669,.023066333,-.026674263,-.0084150806,-.022114411,-.022911789,.043128576,-.053351469
01may1996,1996m5,.040285528,.0053561111,.034929417,.03132318,-.0053929407,-.011015734,.031141909,-.010644395,.0026915278
03jun1996,1996m6,.0066684862,.0050916667,.0015768195,-.0060052807,-.014500644,.0011857357,-.0015080967,.011676569,-.010124033
01jul1996,1996m7,-.041458637,.0049083331,-.046366971,.0055427542,.037759341,.0074524926,.023618838,.028758632,-.015688337
01aug1996,1996m8,.05519671,.0046155555,.050581153,-.015489215,.025051702,-.027228428,-.032583922,.033286527,-.01820422
02sep1996,1996m9,.043461658,.0041750004,.039286658,-.0086893048,.020981483,.0034978846,.016585268,-.016610505,.02065495
01oct1996,1996m10,.02248724,.0041075,.01837974,.0428541,-.041818395,-.012074314,.054533731,-.050712135,.02471401
01nov1996,1996m11,.081235565,.0037333334,.077502228,.043865595,-.032926992,.047105286,.04832207,-.047057509,.050470889
02dec1996,1996m12,.037408024,.0036855557,.033722468,-.007322446,.023661111,-.026279468,.0064587551,.027243473,.0010151258
01jan1997,1997m1,.070453256,.0031947223,.067258537,.0029752329,.046281621,-.020851389,-.012157192,.028042786,-.021519518
03feb1997,1997m2,.045576926,.0030022222,.042574704,.010864552,.0079504307,.017658725,.00622168,.030133082,.04066404
03mar1997,1997m3,.03762592,.0035219446,.034103975,-.016542632,.012152928,.027715966,-.048031949,.012292435,.037253238
01apr1997,1997m4,-.022308405,.0033416669,-.025650073,.0051266118,.00047272351,-.0049128761,-.0075775813,.0012647607,-.024188161
01may1997,1997m5,.064503752,.0035133332,.060990419,-.0058230325,-.020067278,.013782447,-.01060884,-.041834891,-.0020459369
02jun1997,1997m6,.06688901,.0033750001,.063514009,-.057916954,.0098324297,-.018859945,-.074345946,-.021388616,.0092842598
01jul1997,1997m7,.056477472,.0035305554,.052946918,-.029846963,-.0027644914,.0092088096,-.037485585,-.010193024,.023158658
01aug1997,1997m8,-.048227102,.0035649999,-.0517921,.08026661,-.015660023,-.0064429455,.1017447,-.017061055,-.0057933358
01sep1997,1997m9,.067774743,.0033583336,.064416409,.020857511,-.016460413,-.0129386,.01760089,-.018720288,.03158991
01oct1997,1997m10,-.11219064,.0035563889,-.11574703,.00083943456,-.0021801554,.022863694,.0051692897,.012113471,.061759863
03nov1997,1997m11,.049210146,.0034583334,.045751814,-.0049671312,-.033257011,.029982602,-.016511036,-.036337815,.020240568
01dec1997,1997m12,-.0081570623,.0037458332,-.011902896,.023579715,-.0075189117,.021700053,.059792485,.023723051,-.050160691
01jan1998,1998m1,.034766071,.0037372224,.031028848,-.0067569581,.031508602,-.049044318,-.043561507,.0087046027,-.015352597
02feb1998,1998m2,.075763933,.0032511109,.07251282,.017653054,-.023934521,.053085301,-.0048963814,-.02529034,.011605105
02mar1998,1998m3,.066787153,.0038405557,.062946595,-.017694376,-.017614432,.015109269,-.0089045791,-.031811357,.010963025
01apr1998,1998m4,.026828798,.0036666668,.02316213,-.011412152,-.040600494,.029113537,-.026676992,-.020016795,.014760505
01may1998,1998m5,.040262472,.0038836114,.03637886,.0097679654,-.061577033,.030630179,.0087167304,-.065575704,.037584215
01jun1998,1998m6,.0092111798,.0035666667,.0056445133,.010786314,-.016272195,.029069258,.0077075916,-.041434031,.03727033
01jul1998,1998m7,-.0044845911,.0035822222,-.0080668135,.044541959,-.016833294,.021720883,.044961244,-.027655536,.047498319
03aug1998,1998m8,-.14430465,.0035994444,-.1479041,.011016999,-.019116811,.021143049,.0067652091,-.0079493895,.04948974
01sep1998,1998m9,-.10315871,.0034999999,-.10665871,-.0052359523,.053304069,-.017284337,.0067346343,.040502369,-.015467543
01oct1998,1998m10,.044211086,.0036511109,.040559974,-.053122979,-.0045765429,.035974089,-.070211187,-.013415514,.053153921
02nov1998,1998m11,.12301784,.0032916667,.11972617,.040826518,-.10926047,.033063367,.023899468,-.11959033,-.0045018215
01dec1998,1998m12,-.013941241,.0031344446,-.017075686,.0045777191,-.003492353,.03426066,.0092651555,-.012366308,.044657022
01jan1999,1999m1,.023983434,.0029794446,.02100399,.024602039,.011541184,-.034313522,-.05287898,.019920064,-.024722744
01feb1999,1999m2,.014703665,.0024422223,.012261443,-.007201042,.097798213,-.049398221,-.020607714,.084271222,-.036335878
01mar1999,1999m3,.026382765,.0027727778,.023609987,-.023932202,.074292339,-.049827203,-.044027317,.053345565,-.062983528
01apr1999,1999m4,.061878465,.0024000001,.059478465,-.0076525211,.020208038,-.061424211,-.033586647,.018574469,-.053491831
03may1999,1999m5,-.00027738709,.0024584723,-.0027358592,.0043232571,.015599757,.032443937,.044577964,-.011332131,.017062146
01jun1999,1999m6,.055232264,.0024666667,.052765597,-.047120493,-.010475254,.027241843,-.063165978,-.0015541324,.041271091
01jul1999,1999m7,-.0061652875,.0025144445,-.0086797317,.018780351,.0033567632,-.010146696,-.012894188,.0058355853,.0073953094
02aug1999,1999m8,.019106286,.002566111,.016540175,-.027383281,-.0090881763,.013345981,-.01033462,.013607504,-.027449477
01sep1999,1999m9,-.0011758,.0024666667,-.0036424669,.09143357,-.032316893,-.05643031,.048225671,-.023651324,-.017556051
01oct1999,1999m10,.080923423,.0026866666,.078236759,-.0036703146,-.028851185,.015515299,-.05595018,-.090078197,.065571435
01nov1999,1999m11,.11794396,.0026166667,.1153273,.13017657,-.23590794,.075558916,.082148544,-.14593953,.10040118
01dec1999,1999m12,.16236894,.0028588888,.15951005,.071715437,-.21014793,.021804109,.057264507,-.083410263,.021050531
03jan2000,2000m1,.02221629,.0029105556,.019305734,.30689421,-.35744843,-.046311311,.17123508,-.36117226,-.00083737355
01feb2000,2000m2,.15779929,.0027952779,.15500401,-.019337179,-.24977657,.07563924,.14565121,-.20592496,.045179322
01mar2000,2000m3,-.037858687,.0034013889,-.041260075,.033881381,.030432224,-.027702149,.032242786,.050045364,-.055211421
03apr2000,2000m4,.018646043,.0031916667,.015454376,-.034741994,.091988891,-.10122128,-.069834881,.048988014,-.047696464
