day,RM_daily,rf_daily,RM_RF_daily,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
04jan1983,.0015310206,.00029722223,.0012337985,-.0051213419,.0028132058,-.0023779972,-.0019514131,.0030139028,-.0064853113
11jan1983,.030457024,.00029583334,.030161191,-.006261324,-.006962222,.0039719013,-.0042564836,-.0039140657,-.0028799484
12jan1983,.0034292433,.00030694445,.003122299,-.017308526,-.0011398812,.013296768,-.011413019,.00062053726,.0075347843
13jan1983,.018617367,.00030277777,.018314589,-.0042207944,-.0018815091,-.0077233762,-.0046436307,-.0057469299,-.0067516328
14jan1983,.0069657466,.00029722223,.0066685244,.0083872396,-.012630275,.0085739745,.0062818788,-.0071748281,.010458222
17jan1983,.023164308,.00029722223,.022867085,-.0054179518,-.0062461141,-.013489489,-.0091172112,.012388129,-.01693872
18jan1983,-.0032874334,.00029722223,-.0035846557,.0016010108,.00091213069,.012608772,-.0025905957,-.0031549511,.015852863
19jan1983,-.003827245,.00029444444,-.0041216896,.0026465741,.0040720822,-.0024190624,.00025875951,.0068154847,-.0010928565
20jan1983,-.010651257,.00029444444,-.010945701,.001767777,.014790691,.00015532586,.008085927,.00012601048,.00060427218
21jan1983,.0083033405,.00029305555,.008010285,.0029382331,.0067234146,.0084778825,.0045592631,.010450136,.011920385
24jan1983,-.0046654353,.00029305555,-.0049584908,.0030766448,.0039045836,.001843363,.0086592976,.0062425882,.0010023589
25jan1983,-.01267774,.00029305555,-.012970796,.0085268887,-.0010206765,.0019819336,.008036999,-.0064671012,.0047493363
26jan1983,.0033455472,.00029444444,.0030511029,.0035265211,.0080794748,.0029203962,.0041240994,.0048953649,.0043923762
27jan1983,.020069864,.00029444444,.019775419,-.017947646,.0088544879,.0086192656,-.011447685,.016289545,.005127606
28jan1983,.019986302,.00029722223,.019689079,.0022546882,-.010108398,.00081485836,.006514437,-.014302474,.0030040862
31jan1983,.015016481,.00029444444,.014722037,-.0021038083,-.0019625453,.0055591203,.0049818461,.0084785745,-.0011201832
01feb1983,.013591533,.00029583334,.013295699,-.0074253674,-.0034526677,-.0082450183,-.008479082,.0004455141,-.0097708153
02feb1983,-.0070309718,.00029305555,-.0073240274,.011377669,.003992849,-.010397263,.016233912,.0056854095,-.012796926
03feb1983,.0089032296,.00029305555,.0086101741,.00074730598,-.000079004094,-.0022367043,-.0020553819,.0031551814,-.0027445192
04feb1983,.024993338,.00029305555,.024700282,-.002494216,-.0023565763,-.0066215731,-.0031874778,.00015061069,-.01016034
07feb1983,.024846155,.00029305555,.0245531,-.0114969,-.0085795959,-.0056195604,-.010429195,-.010341943,-.0021164576
08feb1983,.014377132,.00029166666,.014085465,-.0034622841,-.0046759062,-.00031115027,-.0018634513,.00041021267,-.0055101416
09feb1983,-.01759164,.00029166666,-.017883306,-.00015263811,-.0074849669,.00027456833,-.0035265905,-.0097596049,2.1681190e-06
10feb1983,.0034794908,.00029166666,.003187824,.000036981481,.0082922159,-.0047059795,-.00233993,.0054957313,-.0031815597
11feb1983,.0079215178,.00029166666,.0076298513,.00041101433,.0077367895,-.0048879441,.002635472,.0066252453,-.0053664278
14feb1983,.004447055,.00029166666,.0041553886,-.0039136456,.00030205128,-.0068769068,-.0062072566,.00034974498,.00045642079
15feb1983,.016623506,.00029166666,.01633184,-.0061981082,.016258879,.00062473398,-.0022459344,.018397938,.0017249729
16feb1983,.015009587,.00029166666,.01471792,.0030898415,.018142737,.0002404796,.0078801028,.021965198,-.0043437071
17feb1983,.016595608,.00029166666,.016303942,.00065731507,.011657863,-.0021168673,.0040673628,.010402825,-.0014088703
18feb1983,.0002654421,.00029166666,-.000026224559,.01324323,-.0086025093,.0043780399,.010537308,-.0088855596,.0020807991
21feb1983,.0051482101,.00029166666,.0048565436,-.00068934337,.018174598,-.0037760518,.0049952921,.019601829,-.003652324
22feb1983,.023206696,.00029166666,.02291503,-.0042602671,.021372214,.021003898,-.0091007967,.025935359,.02454491
23feb1983,.019480854,.00029166666,.019189188,-.0016053207,.0066467896,.0075527783,-.0040868274,.012992108,.0010962873
24feb1983,.01579307,.00029027776,.015502793,-.0041585295,.011300408,-.0035094223,-.0089980057,.0074591809,-.0064348765
25feb1983,-.00809767,.00029027776,-.0083879475,.004334019,-.0026785317,.0072581288,.0092881229,-.00059571443,.0017356914
28feb1983,-.0081888968,.00028750001,-.008476397,-.0059025064,-.010100414,.0068564359,-.0024069317,-.0083760582,.010185404
01mar1983,-.023553845,.00028611111,-.023839956,.0089442395,-.0066370033,.0089002885,.0052997437,-.0061102984,.0042934185
02mar1983,.034834258,.00029027776,.03454398,-.012024564,.025504142,-.0037680599,-.018600263,.009685752,-.0007531296
03mar1983,.016993759,.00029027776,.016703481,-.0088636652,.0086676171,-.0007351446,-.0066525312,.015528002,-.00066423276
04mar1983,.0071226126,.00029027776,.0068323347,-.00098258944,.010222197,.013378843,-.000044130677,.014325868,.0096362634
07mar1983,.0087362956,.00029027776,.0084460182,-.013131673,.02090974,-.0091733197,-.0093537914,.020722017,-.014532363
08mar1983,-.0016739041,.00029027776,-.0019641819,.010894937,-.0013359631,.014991889,.0081992,-.00027445285,.010340721
09mar1983,-.021359837,.00029027776,-.021650115,.013594793,-.0016812775,-.0002341345,.012259227,.0026350906,-.0016672327
10mar1983,-.00067042437,.00029027776,-.00096070213,.0027038872,.0035789593,.0043727914,.00265601,.0020940204,.0024632674
