day,yw,RM_weekly,rf_weekly,RM_RF_weekly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
28may1984,1984w22,-.0021316665,.0021875,-.0043191668,-.0061845742,-.0038812093,.00048505398,-.0059353355,-.0080083013,.0010488525
04jun1984,1984w23,.012672142,.0022069446,.010465197,.014105058,-.017674699,.011480099,.022216957,-.014699347,.016829249
11jun1984,1984w24,.001433633,.0022263888,-.00079275575,.0035837304,.0030002212,-.010823828,.0030433864,.00010541643,-.015591776
18jun1984,1984w25,.021126041,.0022555557,.018870486,-.0083937086,-.00072111422,-.003472819,-.010659878,.00072313473,-.0052546626
25jun1984,1984w26,-.0014420188,.0022749999,-.0037170188,-.00014665847,-.00067901378,-.0051126233,-.0020593919,.00061542238,-.0076696994
02jul1984,1984w27,.012254803,.0026638887,.0095909145,-.028756017,.033965915,-.035937037,-.018233741,.010313038,-.019883297
09jul1984,1984w28,-.0052507478,.002625,-.007875748,.0080683837,-.0069626179,-.0011129926,.010482665,-.0064837718,.010009531
16jul1984,1984w29,-.0039040714,.0026055556,-.0065096272,.01216644,.0077917622,-.011002714,.0093408972,.01206089,-.011924188
23jul1984,1984w30,.011298193,.0026444446,.0086537478,-.0069927368,.0073494371,.0007581989,-.0082871346,.0046856613,-.0055470872
30jul1984,1984w31,.003242837,.0027027777,.00054005929,-.0024984018,-.0029698887,-.0047263992,-.0075474265,-.0036186546,-.010800526
06aug1984,1984w32,.0057945875,.0027027777,.0030918098,-.016492629,.036148053,-.021993199,-.011234105,.025297685,-.019697553
13aug1984,1984w33,-.01661735,.0026930557,-.019310405,.0037408436,-.005398144,-.0058879391,.0090987487,-.0033865944,.0014287475
20aug1984,1984w34,.00025905186,.0027027777,-.0024437259,.0039592981,.0015205522,.0068389326,-.0038268401,.00018333577,.0013084253
27aug1984,1984w35,-.02320902,.0028875,-.026096521,.011601593,-.0060685491,.0013045752,.010435518,-.014285078,.0063996194
03sep1984,1984w36,-.024535498,.0026541667,-.027189665,.0004342515,-.019213133,.0092499424,-.011661648,-.031706613,.012568184
10sep1984,1984w37,.0057288618,.002625,.0031038618,-.020518802,-.0038558007,.014204098,-.020393647,-.012283474,.0040819417
17sep1984,1984w38,-.026921958,.0026152777,-.029537234,.017132765,.011581881,.0086667622,.017865429,.013145505,.011552075
24sep1984,1984w39,.0031832845,.0026152777,.00056800689,-.018653108,-.0010275767,.019205149,-.020513728,-.015555289,.015181163
01oct1984,1984w40,.0063889599,.0026444446,.0037445154,-.015329048,.037689865,-.0036225324,-.021018824,.04487111,.0017204455
08oct1984,1984w41,-.0039360081,.002625,-.0065610083,.0062740687,-.023319015,-.000037790625,.0093893567,-.02374156,-.000049579729
15oct1984,1984w42,-.0023369449,.002625,-.0049619451,.0049018119,.0021362042,-.013629482,-.0010411508,-.0099584432,-.012363872
22oct1984,1984w43,.0030451447,.002625,.00042014476,-.019025031,.0017700559,-.0020149879,-.019778123,-.0045983982,.0031207525
29oct1984,1984w44,-.022610025,.0023236112,-.024933636,.0068406477,.012492077,-.00049001549,.017128376,.015950652,.010587354
05nov1984,1984w45,-.017702768,.0022263888,-.019929156,.0028930379,-.012110371,-.0059584212,.0026112169,-.018832149,.0087429183
12nov1984,1984w46,-.023218274,.0022166667,-.025434941,.019045923,.024841025,-.0054710386,.017649822,.025588976,-.0071450602
